imenice,rod,instrumental,pridevi m
gurtna,f,gurtnom,ubudžni
cajzla,f,cajzlom,ćoškasti
picajzla,f,picajzlom,četvrtasti
frajlauf,m,iberlaufom,heksagonalni
kuplung,m,kuplungom,oktogonalni
šlajzna,f,šlajznom,poludugi
radilica,f,radilicom,sitni
hilzna,f,hilznom,kontrolni
dihtung,m,dihtungom,oscilirajući
kapa,f,kapom,tovatni
vratilo,n,vratilom,galvanski
zamajac,m,zamajcem,zupčasti
polutka,f,polutkom,nazubljeni
klipnjaca,f,klipnjačom,klizni
osovina,f,osovinom,pneumatski
zupčanik,m,zupčanikom,hidraulički
iberlauf,m,iberlaufom,univerzalni
šajbna,f,šajbnom,desni
šiber,m,šiberom,levi
dizna,f,diznom,niskoprofilni
kaiš,m,kaišem,balansirani
španer,m,španerom,dužni
umetak,m,umetkom,centrirani
karburator,m,karubratorom,pravi
solenoid,m,soleinoidom,homokinetički
anlaser,m,anlaserom,zvezdasti
zamajac,m,zamajcem,pogonski
kurbla,f,kurblom,gonjeni
remenica,f,remenicom,azbestni
ventil,m,ventilom,isključni
auspuh,m,auspuhom,ključni
katalizator,m,katalizatorom,rashladni
ceger,m,cegerom,grejni
kvačilo,n,kvačilom,torzioni
lamela,f,lamelom,usisni
prigušivač,m,prigušivačem,prigušni
češalj,m,češljem,lepezasti
kandža,f,kandžom,priključni
spojnica,f,spojnicom,frikcioni
opruga korpe,f,oprugom korpe,dilatacioni
lepeza,f,lepezom,izduvni
druklager,m,druklagerom,trostepeni
papučica,f,papučicom,trofazni
ležaj,m,ležajem,medjuosovinski
karika,f,karikom,kardanski
dijafragma,f,dijafragmom,bregasti
ručica,f,ručicom,leteći
gabelung,m,gabelungom,obrtni
izduvnik,m,izduvnikom,kolenasti
diferencijal,m,diferencijalom,razvodni
zglob,m,zglobom,dvostruki
klapna,f,klapnom,spojni
gurtna,f,gurtnom,lučni
viljuška,f,viljuškom,široki
upravljač,m,upravljačem,zvezdasti
potenciometar,m,potenciometrom,derivacioni
ležaj,m,ležajem,visokonaponski
lager,m,lagerom,gumeni
kuglager,m,kuglagerom,ručni
karoserija,f,karoserijom,nožni
amortizer,m,amortizerom,kočioni
spona,f,sponom,navigacioni
rame,n,ramenom,metalni
pakna,f,paknom,plastični
doboš,m,dobošem,mikronski
opruga,f,oprugom,zakrivljeni
klešta,f,kleštima,bimetalni
pločica,f,pločicom,hinter-
graničnik,m,graničnikom,uber-
klema,f,klemom,unter-
kalem,m,kalemom,špric-
razvodnik,m,razvodnikom,šalt-
relej,m,relejem,blink-
rikšpigel,m,rikšpigelom,štop-
hauba,f,haubom,špitel-
glava,f,glavom,elektro-
luftfilter,m,luftfilterom,sinter-
klipnjača,f,klipnjačom,abcvajgen-
karika,f,karikom,ajnlas-
ring,m,ringom,ajnfort-
lufter,m,lufterom,abflus-
saug,m,saugom,polu-
lonac,m,loncem,sendvič-
felna,f,felnom,šofer-
gevezen,m,gevezenom,kubel-
verfer,m,verferom,štajner-
sic,m,sicem,kontra-
drajek,m,drajekom,ablend-
štucna,f,štucnom,kibic-
damfer,m,damferom,šlajz-
štangla,f,štanglom,
kegel,m,kegelom,
đunta,f,đuntom,
nut,m,nutom,
prirubnica,f,prirubnicom,
fagna,f,fagnom,
naglavak,m,naglavkom,
far,m,farom,
omotač,m,omotačem,
kragna,f,kragnom,
tečnost,f,tečnosti,
žmigavac,m,žmigavcem,
fenster,m,fensterom,
lajsna,f,lajsnom,
šipka,m,šipkom,